smiles,Voltage_Identification_Label
O=C1NC(C2=C1NCCN2)=O,1
O=C1NC(C2=C1NC3=C(C(NC3=O)=O)N2)=O,0
O=C1N(N2C(C(C)=C(C)C2=O)=O)C(C(C)=C1C)=O,1
O=C1N(C(C=C1)=O)N2C(C=CC2=O)=O,0
O=C1N(C(C(C(O[Li])=O)=C1C(O[Li])=O)=O)N2C(C(OC([Li])=O)=C(OC([Li])=O)C2=O)=O,0
O=C1N(N2C(C(N)=C(C2=O)N)=O)C(C(N)=C1N)=O,1
O=C1C(C(C(N2)=O)=CC2=O)=CC(N1)=O,0
O/N=C1/C(/C(/C(/C(/C/1=N/O)=N/O)=N\O)=N/O)=N/O,1
[O-][N+]1=C(/C(C2=NO[N+]([O-])=C2/C3=N/O)=N\O)C3=NO1,0
[O-][N+]1=C2C(C3=[N+](ON=C3C4=[N+](ON=C24)[O-])[O-])=NO1,0
[Li]O/N=C1/C(/C(/C(/C(/C/1=N/O[Li])=N/O[Li])=N\O[Li])=N/O[Li])=N/O[Li],0
O=C1NC(C2=C1C(C(N3)=O)=C2C3=O)=O,0
O=C1C=CC(N1CCCC(O)=O)=O,1
O=C1C=CC(N1C/C=C/CN(C(C=C2)=O)C2=O)=O,1
O=C1C=CC(N1C2=CC(N(C(C=C3)=O)C3=O)=CC=N2)=O,1
O=C1C=CC(N1C2=CC(N3C(C=CC3=O)=O)=CC(N4C(C=CC4=O)=O)=C2)=O,1
CN(S(/N=C(C=C/1)/C=CC1=N/S(N(C)C)(=O)=O)(=O)=O)C,1
O=C1N(C2=CC=C(N3C(C=CC3=O)=O)C=C2)C(C=C1)=O,1
O=C(O1)/C(C2=C1C=CC=C2)=C3C(OC4=C/3C=CC=C4)=O,1
